,S3P2_ES,,,z,S3P2,S3P2_ES,,,
2182,ENFEMERIA,,,4,5223,LENGUISTICA APLICADA,,,
185,ENFEMERIA,,,4,5223,LETRAS HISPANICAS,,,
1753,ENFERMERA,,,4,5223,LINGUISTICA,,,
1522,ENFERMERA,,,3,5224,LICENCIATURA EN HISTORIA,,,
763,ENFERMERA,,,4,5225,FILOSOFIA Y LETRAS,,,
167,ENFERMERA,,,4,5225,FILOSOFIA Y LETRAS,,,
653,ENFERMERA,,,2,5311,LICENCIADA EN PSICOLOGIA,,,
1621,ENFERMERA GENERAL,,,2,5311,LICENCIADA EN PSICOLOGIA,,,
1647,ENFERMERA GENERAL,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
1876,ENFERMERA GENERAL,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
357,ENFERMERIA,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
1159,ENFERMERIA,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
1419,ENFERMERIA,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
2670,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
368,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
1857,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
2192,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
664,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
874,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
969,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
139,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
1846,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
2025,ENFERMERIA GENERAL,,,2,5311,PSICOLOGIA,,,
1056,ENFERMERIA INFANTIL,,,2,5311,PSICOLOGIA,,,
2428,ENFERMERIA PEDIATRICA,,,2,5311,PSICOLOGIA CLINICA,,,
1598,ENFERMERIA Y OBSTETRICIA,,,3,5311,SICOLOGIA,,,
